AOD,narration,drcr,output
89,1,1,1
86,1,1,1
88,1,1,1
95,1,1,0
85,1,0,0
97,1,0,0
87,1,0,0
99,0,0,0
81,0,1,0
85,1,1,1
100,1,0,0
96,0,1,0
92,0,0,0
96,1,1,0
81,0,1,0
100,1,0,0
86,0,0,0
89,0,1,0
80,1,0,0
97,1,1,0
81,0,1,0
90,1,0,0
100,0,1,0
80,1,1,1
84,1,1,1
94,0,0,0
83,1,0,0
91,1,0,0
95,1,0,0
87,1,1,1
100,1,0,0
90,1,0,0
81,0,1,0
82,0,0,0
88,1,0,0
91,0,0,0
93,1,1,0
92,1,1,0
96,0,0,0
94,1,1,0
94,1,1,0
98,0,0,0
89,0,1,0
88,0,1,0
89,1,1,1
83,1,0,0
85,0,0,0
91,1,1,0
85,1,0,0
97,0,0,0
88,0,1,0
90,0,1,0
94,1,0,0
93,0,0,0
81,0,1,0
81,0,0,0
85,1,0,0
89,0,0,0
83,0,1,0
89,1,0,0
85,1,1,1
88,0,0,0
100,1,0,0
87,1,0,0
100,0,0,0
97,1,0,0
93,0,1,0
87,1,1,1
99,1,1,0
93,0,1,0
86,0,0,0
100,1,0,0
99,1,1,0
100,0,1,0
86,1,1,1
83,1,1,1
95,0,0,0
98,0,0,0
84,0,0,0
89,1,1,1
93,1,1,0
83,1,1,1
98,1,0,0
91,1,0,0
96,0,0,0
87,1,1,1
95,0,1,0
85,1,0,0
100,0,1,0
84,0,0,0
85,0,1,0
90,0,1,0
93,1,0,0
100,1,1,0
96,1,0,0
91,0,1,0
86,0,1,0
82,0,0,0
94,0,1,0
86,1,1,1
93,1,0,0
97,0,1,0
100,1,0,0
94,0,1,0
84,1,1,1
90,1,0,0
94,0,1,0
87,1,1,1
85,0,0,0
94,1,1,0
85,1,1,1
95,1,0,0
82,0,0,0
94,0,1,0
93,1,1,0
89,0,0,0
100,0,1,0
91,0,0,0
99,0,0,0
84,0,0,0
98,0,0,0
94,0,0,0
92,0,0,0
90,0,0,0
93,1,1,0
80,0,1,0
86,1,1,1
100,1,0,0
88,0,0,0
92,1,0,0
83,1,0,0
93,0,1,0
100,1,0,0
89,0,0,0
90,0,1,0
100,1,0,0
91,1,1,0
88,1,1,1
94,1,1,0
80,1,0,0
88,0,0,0
100,0,1,0
100,1,1,0
100,1,1,0
86,0,1,0
92,0,0,0
85,1,1,1
89,0,1,0
85,1,1,1
93,1,0,0
94,0,1,0
83,0,1,0
94,0,0,0
95,1,1,0
95,1,0,0
82,1,0,0
93,0,1,0
86,0,0,0
87,0,0,0
91,1,0,0
86,0,1,0
84,0,1,0
97,1,0,0
99,1,0,0
82,1,1,1
81,0,1,0
92,0,0,0
97,0,1,0
95,1,0,0
100,1,1,0
84,1,0,0
86,0,0,0
100,0,0,0
96,0,0,0
88,0,1,0
86,1,1,1
87,0,0,0
82,1,1,1
88,0,0,0
95,0,0,0
99,0,0,0
89,0,0,0
91,0,0,0
87,1,1,1
89,0,0,0
86,1,1,1
90,0,0,0
82,1,0,0
97,0,0,0
88,0,1,0
97,0,1,0
98,1,0,0
95,1,0,0
82,1,1,1
99,1,0,0
99,1,1,0
95,1,0,0
82,0,1,0
94,1,1,0
91,0,1,0
93,0,0,0
82,1,1,1
99,1,0,0
99,1,0,0
90,0,0,0
88,0,1,0
83,0,0,0
93,0,0,0
97,0,1,0
80,0,0,0
97,0,0,0
93,1,0,0
99,1,1,0
99,0,1,0
83,0,0,0
86,0,1,0
94,1,0,0
87,0,1,0
84,1,1,1
92,1,0,0
95,1,1,0
85,0,0,0
94,0,0,0
83,0,0,0
82,1,1,1
90,1,1,0
81,1,1,1
91,0,1,0
87,1,0,0
92,1,0,0
91,0,1,0
82,0,1,0
100,0,1,0
92,1,1,0
87,0,1,0
93,0,1,0
89,1,0,0
88,1,1,1
81,1,0,0
86,1,0,0
92,0,0,0
100,1,1,0
86,0,0,0
82,0,1,0
88,1,0,0
85,0,0,0
84,1,1,1
83,1,0,0
92,1,0,0
100,0,0,0
98,1,0,0
88,0,1,0
98,1,1,0
81,1,0,0
98,1,0,0
86,0,1,0
91,0,0,0
95,1,0,0
99,1,1,0
97,1,1,0
98,0,1,0
86,0,1,0
85,1,0,0
82,1,0,0
90,0,0,0
84,0,0,0
80,0,1,0
100,0,1,0
99,0,1,0
91,0,1,0
86,0,1,0
91,0,0,0
84,1,1,1
89,1,0,0
83,1,1,1
96,1,1,0
91,0,1,0
95,0,1,0
86,1,0,0
90,1,0,0
91,1,0,0
97,1,0,0
97,0,1,0
99,0,0,0
87,1,0,0
93,1,1,0
89,0,1,0
83,1,0,0
93,0,0,0
84,1,0,0
89,0,0,0
90,1,1,0
92,0,0,0
84,1,0,0
94,1,1,0
99,0,0,0
85,0,1,0
99,1,1,0
85,0,0,0
81,1,1,1
87,1,0,0
95,0,0,0
93,0,1,0
95,1,0,0
82,1,1,1
97,1,1,0
83,0,0,0
99,1,0,0
87,1,0,0
80,0,1,0
93,1,1,0
81,1,1,1
92,1,1,0
94,1,1,0
96,1,1,0
92,0,1,0
98,0,0,0
80,0,0,0
82,0,1,0
90,1,0,0
91,0,1,0
92,0,1,0
91,1,0,0
90,1,0,0
84,1,0,0
89,1,1,1
94,1,0,0
91,1,0,0
91,0,1,0
96,0,1,0
100,1,1,0
83,1,0,0
100,0,1,0
93,0,0,0
87,1,0,0
93,0,1,0
87,0,1,0
85,1,1,1
98,0,0,0
85,0,1,0
95,1,0,0
94,1,0,0
96,1,1,0
80,1,0,0
96,0,1,0
82,1,0,0
96,1,0,0
93,1,1,0
84,1,0,0
97,1,0,0
88,0,1,0
88,0,1,0
90,0,1,0
87,0,0,0
84,0,1,0
92,0,0,0
84,0,0,0
87,0,1,0
84,1,0,0
93,0,0,0
100,0,0,0
100,1,0,0
90,1,1,0
98,0,0,0
88,1,1,1
89,0,0,0
96,0,0,0
99,1,0,0
90,1,0,0
97,0,0,0
88,1,0,0
99,1,0,0
96,1,1,0
95,1,0,0
89,0,0,0
91,1,0,0
83,0,1,0
85,1,0,0
91,1,1,0
93,1,0,0
98,0,0,0
87,1,1,1
92,1,0,0
89,1,1,1
84,0,1,0
83,0,0,0
81,0,0,0
93,1,1,0
87,0,1,0
92,1,0,0
96,0,1,0
87,0,1,0
99,1,1,0
83,1,1,1
89,0,0,0
91,1,1,0
83,0,1,0
80,0,1,0
98,0,1,0
83,0,1,0
87,0,1,0
91,0,1,0
88,1,1,1
84,0,0,0
89,0,0,0
87,1,0,0
84,0,0,0
86,0,1,0
89,0,1,0
96,0,0,0
92,1,0,0
91,0,0,0
86,1,1,1
100,0,1,0
85,1,1,1
82,0,0,0
82,1,0,0
98,1,1,0
80,0,1,0
85,0,0,0
94,1,1,0
87,0,0,0
93,0,0,0
93,0,0,0
97,1,0,0
93,0,1,0
95,1,0,0
99,0,1,0
99,1,0,0
97,1,1,0
81,0,1,0
85,0,0,0
92,1,1,0
80,0,1,0
92,1,1,0
81,1,1,1
93,0,1,0
90,1,0,0
88,1,0,0
92,1,0,0
86,1,1,1
86,0,0,0
89,0,0,0
85,1,1,1
87,0,0,0
96,0,1,0
84,0,1,0
80,0,1,0
89,1,1,1
82,1,0,0
81,0,0,0
100,1,0,0
90,0,0,0
96,0,0,0
89,1,1,1
91,0,0,0
89,1,1,1
80,0,1,0
83,0,0,0
99,0,1,0
98,1,0,0
100,0,0,0
94,1,1,0
98,1,1,0
90,0,1,0
83,0,1,0
91,1,1,0
84,1,1,1
87,1,0,0
90,0,1,0
94,1,1,0
88,0,0,0
80,1,0,0
85,0,0,0
82,1,1,1
93,0,0,0
86,0,0,0
87,0,0,0
91,1,1,0
94,1,1,0
80,0,0,0
87,0,0,0
82,1,0,0
82,0,1,0
90,0,1,0
86,0,1,0
99,0,0,0
85,0,0,0
97,1,0,0
92,1,0,0
80,0,0,0
100,1,0,0
91,1,1,0
81,0,1,0
91,1,0,0
92,0,0,0
98,1,1,0
96,0,1,0
95,1,1,0
99,1,1,0
88,0,1,0
80,0,1,0
80,0,0,0
92,1,1,0
85,0,1,0
90,0,0,0
97,0,1,0
84,1,0,0
84,1,1,1
83,1,1,1
93,0,0,0
89,0,0,0
86,0,0,0
99,0,1,0
86,0,0,0
87,0,1,0
85,1,1,1
85,1,0,0
92,1,0,0
96,0,0,0
80,1,1,1
97,0,1,0
95,1,1,0
84,1,0,0
80,1,1,1
95,0,1,0
87,1,1,1
89,0,0,0
97,1,0,0
91,0,1,0
80,0,1,0
97,0,1,0
87,1,0,0
89,1,0,0
85,0,0,0
94,1,1,0
83,0,0,0
94,0,1,0
99,0,1,0
95,0,0,0
80,1,0,0
90,1,1,0
92,0,0,0
91,0,0,0
91,0,0,0
91,0,0,0
85,1,1,1
81,0,1,0
84,0,0,0
99,0,0,0
100,1,1,0
81,1,1,1
92,1,1,0
100,0,0,0
83,0,1,0
99,1,0,0
87,0,1,0
95,0,0,0
85,1,1,1
91,0,1,0
89,0,0,0
98,1,1,0
95,0,1,0
96,1,1,0
96,0,0,0
99,0,0,0
92,0,1,0
88,1,1,1
97,0,0,0
89,1,0,0
89,0,1,0
89,0,1,0
90,0,0,0
84,1,1,1
92,1,1,0
87,1,1,1
88,0,0,0
88,0,0,0
81,0,0,0
100,0,0,0
99,1,1,0
96,0,0,0
98,1,0,0
82,0,1,0
85,0,1,0
95,1,0,0
87,0,1,0
92,0,0,0
91,1,0,0
82,1,0,0
84,1,1,1
80,0,0,0
81,1,1,1
86,1,0,0
99,0,1,0
94,1,1,0
80,1,0,0
86,1,0,0
87,0,0,0
81,0,1,0
83,0,1,0
96,0,1,0
84,1,0,0
82,0,0,0
81,0,1,0
87,1,0,0
86,0,0,0
95,0,0,0
92,1,0,0
86,0,0,0
86,0,1,0
86,0,0,0
83,0,0,0
97,1,1,0
85,1,0,0
97,1,1,0
87,1,0,0
91,0,1,0
89,0,0,0
96,1,0,0
90,0,0,0
93,1,1,0
81,1,0,0
98,1,1,0
90,1,1,0
80,0,1,0
93,1,1,0
82,0,1,0
100,0,1,0
89,0,0,0
95,1,1,0
81,1,0,0
99,1,0,0
98,0,0,0
96,1,0,0
91,1,1,0
84,1,0,0
88,0,1,0
80,1,0,0
99,1,1,0
89,0,1,0
96,0,0,0
90,0,0,0
85,1,1,1
84,1,1,1
100,1,1,0
90,0,1,0
98,1,1,0
100,0,1,0
80,0,1,0
87,1,0,0
96,1,0,0
80,1,1,1
80,0,1,0
85,0,1,0
81,0,1,0
99,1,0,0
87,0,1,0
100,1,1,0
99,0,1,0
81,0,0,0
95,1,0,0
80,1,0,0
92,0,0,0
85,0,1,0
83,1,0,0
94,0,1,0
89,0,1,0
93,0,1,0
82,1,0,0
81,1,0,0
99,1,1,0
85,0,0,0
92,0,0,0
94,1,1,0
90,0,0,0
98,1,0,0
84,1,1,1
84,0,0,0
93,0,0,0
93,1,1,0
94,1,0,0
91,0,1,0
94,0,1,0
90,0,1,0
90,1,0,0
80,0,0,0
81,0,1,0
98,1,0,0
85,0,0,0
88,0,1,0
94,0,0,0
93,0,1,0
82,0,1,0
80,0,1,0
93,1,1,0
90,1,0,0
90,1,1,0
91,0,0,0
88,1,0,0
98,0,1,0
89,1,0,0
91,1,1,0
97,1,0,0
89,1,1,1
91,0,0,0
99,1,1,0
86,0,0,0
84,0,0,0
90,1,0,0
84,1,0,0
95,1,0,0
87,0,0,0
80,1,0,0
99,1,1,0
83,0,0,0
90,1,0,0
98,1,0,0
81,1,1,1
81,0,1,0
86,0,1,0
82,0,1,0
87,1,0,0
99,0,0,0
86,0,0,0
86,1,0,0
97,1,0,0
90,1,1,0
89,1,0,0
99,1,0,0
91,0,1,0
96,1,1,0
83,1,1,1
93,0,1,0
89,1,1,1
97,0,0,0
83,0,0,0
87,0,0,0
99,1,1,0
85,0,0,0
83,0,1,0
83,0,1,0
84,1,0,0
93,0,1,0
80,1,0,0
94,1,0,0
87,0,1,0
83,0,0,0
96,1,0,0
98,0,0,0
83,1,0,0
91,1,1,0
95,1,1,0
86,1,1,1
84,0,1,0
95,0,1,0
95,1,0,0
93,1,0,0
95,0,1,0
81,0,1,0
84,1,0,0
87,0,0,0
82,0,0,0
96,0,1,0
82,1,1,1
82,0,0,0
83,1,1,1
98,0,0,0
96,0,0,0
82,0,1,0
82,1,1,1
82,1,0,0
86,1,0,0
90,1,1,0
94,1,0,0
93,1,0,0
91,0,1,0
88,1,0,0
95,1,0,0
91,0,1,0
91,1,0,0
94,1,1,0
82,1,1,1
89,1,0,0
89,1,0,0
80,0,0,0
81,1,0,0
95,1,0,0
89,1,1,1
86,0,1,0
85,1,0,0
91,0,0,0
98,0,0,0
80,0,0,0
83,1,1,1
97,0,1,0
94,0,1,0
85,0,0,0
100,0,0,0
82,0,0,0
81,1,1,1
91,1,1,0
84,0,1,0
80,0,0,0
86,1,0,0
99,1,0,0
80,1,1,1
97,1,1,0
82,1,0,0
96,1,1,0
81,0,1,0
95,0,0,0
94,0,1,0
84,0,0,0
94,1,1,0
85,1,0,0
96,1,1,0
95,1,0,0
93,1,1,0
90,1,1,0
89,1,1,1
89,1,0,0
87,1,1,1
83,1,0,0
97,1,1,0
100,1,0,0
82,1,1,1
94,1,0,0
92,0,1,0
93,1,1,0
85,1,1,1
96,0,1,0
92,1,0,0
95,1,0,0
92,0,1,0
83,1,0,0
86,0,1,0
96,1,0,0
88,0,1,0
82,0,0,0
97,1,1,0
83,1,1,1
96,1,0,0
81,0,0,0
94,1,0,0
80,1,1,1
97,1,0,0
96,1,0,0
93,0,0,0
80,0,0,0
93,1,1,0
97,1,0,0
86,0,0,0
92,0,0,0
90,0,0,0
97,1,0,0
100,1,1,0
95,0,0,0
98,1,1,0
100,1,1,0
83,1,0,0
87,1,1,1
99,1,1,0
97,1,0,0
87,1,1,1
100,1,1,0
82,1,0,0
83,1,1,1
94,1,1,0
86,0,1,0
80,0,0,0
84,0,1,0
85,1,1,1
80,1,0,0
96,1,0,0
96,1,0,0
94,1,0,0
95,1,1,0
88,1,1,1
91,0,1,0
80,1,0,0
100,0,1,0
86,0,0,0
97,1,0,0
87,1,1,1
80,1,0,0
98,0,1,0
92,0,1,0
99,0,0,0
92,1,1,0
100,0,0,0
98,1,1,0
86,0,0,0
81,1,0,0
84,1,0,0
81,0,0,0
96,0,0,0
89,0,1,0
89,1,0,0
99,0,0,0
87,0,0,0
91,0,0,0
93,1,0,0
80,0,0,0
86,1,1,1
89,0,1,0
91,1,1,0
81,1,0,0
81,0,0,0
85,1,1,1
90,0,0,0
97,0,1,0
95,1,1,0
97,0,0,0
87,0,1,0
96,1,0,0
82,1,0,0
92,0,0,0
89,1,0,0
83,0,0,0
99,1,0,0
98,0,1,0
84,0,1,0
80,1,0,0
85,0,1,0
100,1,0,0
83,1,0,0
99,1,1,0
82,1,1,1
94,1,0,0
89,0,0,0
92,1,1,0
80,0,1,0
99,0,0,0
83,1,1,1
91,0,0,0
96,0,1,0
86,0,1,0
84,0,0,0
94,1,0,0
90,1,1,0
96,0,1,0
97,1,0,0
94,1,0,0
92,0,1,0
81,0,0,0
89,0,1,0
94,1,0,0
94,1,1,0
91,1,1,0
86,0,1,0
84,0,1,0
99,0,1,0
100,1,1,0
87,0,1,0
96,1,0,0
100,1,0,0
98,0,1,0
94,0,0,0
82,0,1,0
90,1,0,0
86,1,1,1
96,0,0,0
80,1,0,0
82,0,1,0
85,0,1,0
95,1,1,0
96,0,0,0
93,1,1,0
85,0,0,0
94,1,1,0
85,0,0,0
86,1,0,0
83,0,0,0
92,0,0,0
89,1,0,0
85,1,0,0
100,1,1,0
95,0,0,0
99,1,1,0
88,0,1,0
99,1,1,0
84,0,1,0
80,1,1,1
83,0,1,0
80,0,0,0
83,0,1,0
94,0,0,0
89,0,1,0
99,0,0,0
85,0,1,0
87,0,0,0
97,1,1,0
94,0,1,0
88,0,1,0
90,0,0,0
86,1,1,1
81,1,0,0
83,1,0,0
96,1,0,0
85,1,0,0
82,0,1,0
97,1,0,0
95,1,1,0
82,0,0,0
94,1,1,0
80,0,1,0
93,0,1,0
80,0,1,0
100,1,0,0
81,1,0,0
81,0,0,0
89,1,1,1
97,1,1,0
83,0,0,0
82,1,1,1
84,0,0,0
88,0,1,0
89,0,1,0
85,1,1,1
98,1,1,0
100,0,0,0
82,0,1,0
93,0,0,0
94,0,1,0
90,0,0,0
80,0,1,0
90,0,1,0
99,0,0,0
82,1,1,1
97,0,1,0
81,0,1,0
87,0,0,0
90,1,0,0
86,1,0,0
95,1,1,0
92,1,1,0
81,0,1,0
82,1,0,0
80,1,0,0
87,1,1,1
86,1,0,0
97,0,1,0
80,1,0,0
83,0,1,0
91,1,0,0
83,1,0,0
100,1,0,0
95,1,1,0
87,1,0,0
87,0,0,0
93,1,0,0
80,1,0,0
98,1,0,0
98,1,0,0
85,1,1,1
88,0,0,0
87,1,1,1
100,1,0,0
80,0,1,0
91,1,1,0
93,1,1,0
93,0,0,0
87,0,1,0
94,1,1,0
98,1,0,0
84,1,1,1
94,0,0,0
84,0,1,0
93,1,1,0
80,1,0,0
99,1,0,0
89,0,0,0
84,1,0,0
85,1,1,1
96,1,0,0
87,1,1,1
91,0,0,0
91,0,0,0
95,1,0,0
86,0,0,0
96,0,1,0
91,0,0,0
99,0,1,0
86,1,0,0
80,0,1,0
80,1,1,1
84,1,0,0
97,0,0,0
87,1,0,0
90,1,0,0
88,0,1,0
99,1,0,0
97,1,1,0
84,0,1,0
80,0,1,0
90,0,0,0
96,0,1,0
93,0,1,0
95,0,1,0
89,0,0,0
80,0,1,0
80,1,1,1
95,1,1,0
87,1,0,0
94,1,0,0
89,0,1,0
86,1,0,0
94,1,1,0
80,0,0,0
81,1,1,1
86,0,0,0
81,1,1,1
87,1,0,0
88,0,1,0
80,1,0,0
99,1,1,0
80,1,1,1
100,1,0,0
93,1,1,0
84,0,0,0
88,1,0,0
98,1,1,0
88,0,1,0
88,1,0,0
83,0,1,0
97,0,0,0
96,0,0,0
89,0,0,0
83,0,0,0
96,0,1,0
87,0,0,0
89,1,1,1
95,0,1,0
81,0,0,0
98,0,0,0
95,0,0,0
83,0,1,0
84,0,1,0
80,1,1,1
85,1,0,0
89,0,1,0
90,0,0,0
97,0,1,0
94,1,0,0
82,0,1,0
90,1,1,0
81,0,0,0
82,0,1,0
90,0,1,0
97,0,0,0
81,1,1,1
98,1,0,0
89,1,0,0
100,1,0,0
90,1,1,0
100,1,1,0
100,0,1,0
100,1,0,0
92,1,0,0
80,1,0,0
100,1,1,0
81,0,1,0
80,0,0,0
92,0,1,0
90,0,0,0
81,1,1,1
93,0,1,0
93,0,1,0
89,1,1,1
92,1,0,0
96,0,1,0
89,1,1,1
97,1,1,0
80,0,0,0
89,1,0,0
89,0,0,0
95,1,1,0
92,0,1,0
94,1,0,0
86,0,1,0
86,0,0,0
100,1,1,0
81,0,1,0
81,0,0,0
95,0,1,0
91,1,1,0
81,0,0,0
89,1,0,0
87,0,1,0
88,0,0,0
92,0,0,0
85,1,0,0
92,1,0,0
91,0,0,0
81,0,1,0
94,1,0,0
90,1,0,0
87,1,1,1
94,0,1,0
100,1,0,0
86,1,1,1
88,0,0,0
81,0,0,0
93,0,0,0
86,0,1,0
92,0,1,0
96,1,0,0
99,0,0,0
81,1,1,1
95,1,0,0
80,1,1,1
86,0,1,0
91,1,0,0
81,0,1,0
90,0,0,0
96,1,1,0
80,1,1,1
95,1,0,0
94,0,0,0
94,1,0,0
96,0,0,0
95,1,0,0
96,0,0,0
88,1,1,1
87,0,1,0
99,1,1,0
80,1,1,1
86,0,0,0
94,1,1,0
96,1,0,0
86,1,1,1
94,1,1,0
85,0,0,0
96,1,0,0
99,0,0,0
100,1,0,0
92,0,0,0
87,0,0,0
91,1,1,0
85,0,1,0
91,1,0,0
94,1,0,0
94,0,0,0
81,0,1,0
85,1,0,0
85,0,0,0
91,0,0,0
81,0,1,0
89,1,1,1
84,0,1,0
98,1,1,0
94,1,1,0
81,0,0,0
81,0,1,0
86,0,0,0
95,0,0,0
93,1,0,0
87,0,1,0
98,0,1,0
84,0,0,0
90,0,0,0
88,1,1,1
99,1,1,0
83,0,1,0
89,1,0,0
94,1,0,0
91,0,1,0
88,0,1,0
90,0,0,0
100,1,0,0
83,0,1,0
91,0,0,0
84,0,1,0
96,0,1,0
82,1,0,0
99,0,1,0
97,0,1,0
85,0,0,0
83,0,1,0
100,1,1,0
99,0,1,0
98,1,1,0
96,0,1,0
97,1,1,0
82,0,0,0
81,0,0,0
81,1,0,0
92,0,0,0
87,1,1,1
100,1,0,0
94,1,0,0
96,0,1,0
98,1,1,0
100,0,0,0
96,0,0,0
83,0,0,0
100,0,0,0
97,0,0,0
80,0,0,0
93,1,0,0
83,0,1,0
91,0,1,0
97,0,1,0
90,0,1,0
87,0,1,0
82,0,1,0
99,1,1,0
89,1,1,1
82,1,0,0
100,0,1,0
83,0,1,0
94,0,1,0
91,0,1,0
87,0,0,0
100,1,1,0
94,1,0,0
82,1,0,0
87,1,0,0
97,0,0,0
95,0,0,0
84,0,0,0
96,0,1,0
87,1,1,1
87,0,0,0
96,1,1,0
84,0,0,0
92,1,1,0
85,0,1,0
89,0,1,0
94,0,1,0
81,1,1,1
81,1,1,1
92,1,0,0
88,1,1,1
82,1,1,1
91,1,0,0
96,0,0,0
87,1,0,0
84,1,1,1
91,0,0,0
98,0,1,0
98,1,0,0
86,0,0,0
80,1,0,0
99,1,1,0
99,0,0,0
93,0,1,0
85,0,0,0
82,0,0,0
87,0,1,0
81,1,1,1
96,1,0,0
82,1,1,1
97,1,1,0
89,0,1,0
85,0,0,0
86,0,0,0
99,0,1,0
100,1,1,0
88,1,1,1
99,0,0,0
85,0,0,0
80,0,1,0
100,1,1,0
90,1,1,0
92,1,0,0
95,1,0,0
84,1,1,1
82,0,0,0
94,1,0,0
98,0,1,0
93,0,0,0
99,0,1,0
98,0,0,0
87,0,0,0
90,0,0,0
99,0,1,0
91,0,0,0
98,1,0,0
97,1,0,0
99,1,1,0
84,0,1,0
99,1,0,0
92,0,0,0
99,1,0,0
100,0,1,0
85,0,1,0
91,1,0,0
97,0,1,0
90,1,1,0
95,0,1,0
100,0,0,0
97,1,1,0
93,1,1,0
97,1,0,0
96,1,1,0
96,1,0,0
80,0,0,0
91,1,1,0
84,1,1,1
89,0,0,0
81,1,1,1
80,1,0,0
96,0,0,0
95,1,0,0
87,0,0,0
95,0,1,0
93,0,1,0
82,1,0,0
91,1,0,0
89,1,0,0
100,0,1,0
84,0,0,0
84,0,1,0
81,1,1,1
92,1,1,0
100,1,1,0
86,0,1,0
82,1,0,0
96,0,0,0
80,0,1,0
99,1,0,0
80,1,0,0
81,0,1,0
90,0,0,0
89,0,0,0
90,0,1,0
93,0,1,0
88,1,0,0
88,0,1,0
83,1,0,0
93,0,1,0
96,1,0,0
97,1,1,0
88,1,1,1
100,0,0,0
96,0,0,0
82,0,1,0
89,0,0,0
80,1,0,0
87,0,0,0
99,1,1,0
98,1,0,0
86,0,1,0
84,1,0,0
91,1,0,0
95,1,0,0
85,0,1,0
91,1,0,0
87,0,0,0
100,1,0,0
80,0,0,0
85,1,1,1
84,0,1,0
81,1,1,1
92,0,1,0
90,0,0,0
89,1,1,1
98,1,0,0
98,1,1,0
96,0,0,0
81,0,1,0
88,1,1,1
95,0,0,0
82,1,1,1
93,0,1,0
94,1,0,0
89,1,0,0
100,0,0,0
100,1,0,0
86,0,1,0
84,1,1,1
80,0,1,0
80,0,0,0
99,1,1,0
84,1,0,0
87,1,0,0
97,0,1,0
81,1,0,0
83,1,1,1
94,1,1,0
99,1,1,0
96,0,0,0
100,1,0,0
91,1,0,0
100,1,0,0
81,1,0,0
90,0,0,0
99,0,0,0
95,0,0,0
89,1,1,1
88,0,0,0
93,0,0,0
95,1,1,0
82,1,0,0
81,0,0,0
85,0,0,0
83,0,1,0
85,1,0,0
99,0,1,0
91,1,1,0
83,0,1,0
85,1,0,0
100,1,0,0
86,0,1,0
96,0,1,0
88,0,0,0
97,0,0,0
81,1,0,0
96,1,0,0
99,0,0,0
84,0,1,0
80,1,0,0
87,0,1,0
81,1,0,0
97,0,1,0
83,1,0,0
90,1,0,0
81,0,0,0
85,1,1,1
81,0,0,0
97,1,1,0
82,0,0,0
80,0,0,0
100,0,1,0
94,0,0,0
98,1,0,0
90,0,1,0
90,1,1,0
82,0,1,0
100,1,0,0
87,0,1,0
100,0,1,0
82,0,0,0
95,0,1,0
92,0,0,0
88,0,0,0
88,1,1,1
92,0,1,0
80,0,0,0
87,0,1,0
84,0,0,0
86,0,1,0
91,1,0,0
80,1,0,0
97,1,0,0
80,1,0,0
94,0,0,0
83,1,0,0
93,1,0,0
94,0,0,0
94,1,1,0
95,1,0,0
99,1,0,0
95,0,1,0
92,0,0,0
87,1,1,1
98,1,1,0
95,0,1,0
93,0,1,0
100,1,0,0
95,0,0,0
99,1,1,0
85,0,1,0
94,1,1,0
82,1,0,0
100,1,0,0
80,0,1,0
95,1,0,0
99,1,1,0
96,0,0,0
89,0,0,0
88,0,0,0
87,0,1,0
80,0,1,0
95,1,0,0
90,0,1,0
91,1,1,0
83,0,0,0
89,0,1,0
82,1,0,0
94,0,1,0
84,0,0,0
84,1,1,1
85,1,0,0
94,1,0,0
95,1,1,0
93,0,0,0
86,1,1,1
100,0,0,0
88,0,0,0
83,1,0,0
90,1,0,0
86,0,0,0
99,1,0,0
94,1,0,0
97,0,1,0
100,1,1,0
90,1,0,0
94,1,0,0
85,0,0,0
98,0,0,0
88,1,0,0
80,0,0,0
87,0,1,0
87,0,1,0
91,1,1,0
90,0,1,0
89,1,1,1
86,0,0,0
96,0,1,0
88,0,1,0
84,1,0,0
99,0,0,0
90,0,1,0
85,1,1,1
98,1,1,0
99,1,1,0
95,1,0,0
95,1,1,0
87,0,1,0
92,0,0,0
96,0,1,0
100,0,0,0
91,0,0,0
94,1,1,0
81,0,1,0
82,0,1,0
95,0,1,0
85,1,0,0
96,1,0,0
92,1,0,0
95,0,0,0
90,1,1,0
96,0,0,0
90,0,1,0
97,0,0,0
99,1,1,0
94,1,0,0
92,0,1,0
96,1,0,0
98,1,0,0
100,0,0,0
87,0,0,0
100,0,0,0
90,0,0,0
88,0,1,0
94,0,0,0
94,0,0,0
88,1,1,1
84,0,1,0
81,0,1,0
84,0,1,0
86,0,1,0
93,1,0,0
85,1,1,1
83,0,0,0
94,0,0,0
89,1,0,0
84,0,0,0
93,0,0,0
81,0,0,0
98,1,0,0
93,0,1,0
100,1,0,0
86,1,0,0
90,1,0,0
83,0,0,0
94,1,0,0
80,1,0,0
80,1,1,1
80,0,1,0
89,1,1,1
87,1,1,1
86,0,0,0
100,1,1,0
86,1,1,1
86,1,1,1
91,1,1,0
95,1,0,0
91,0,1,0
95,1,0,0
86,1,1,1
91,1,1,0
89,0,0,0
93,0,0,0
81,0,1,0
80,1,0,0
94,0,0,0
90,0,0,0
87,0,0,0
84,0,0,0
84,1,1,1
89,1,1,1
86,0,0,0
90,0,0,0
97,1,1,0
84,1,0,0
88,0,0,0
85,1,1,1
94,0,0,0
87,0,1,0
90,0,1,0
95,1,0,0
89,0,1,0
86,0,1,0
92,0,1,0
90,0,1,0
89,1,1,1
86,0,1,0
99,0,0,0
86,0,1,0
99,0,1,0
86,1,1,1
97,0,0,0
94,0,0,0
88,0,0,0
87,1,0,0
87,1,1,1
92,1,0,0
96,1,1,0
92,0,1,0
100,1,1,0
86,1,0,0
80,0,0,0
88,0,1,0
91,1,1,0
92,0,1,0
100,0,0,0
92,1,1,0
86,1,1,1
83,1,1,1
88,1,0,0
98,1,1,0
97,0,1,0
99,1,1,0
83,1,0,0
96,1,0,0
82,1,1,1
94,0,0,0
99,0,0,0
87,0,1,0
86,0,0,0
90,0,1,0
88,1,0,0
94,0,0,0
98,0,1,0
